May  5, 1936  6:53 AM Venus enters Taurus
May 29, 1936 5:39 PM Venus enters Gemini
June 23, 1936 4:16 AM Venus enters Cancer
July 17, 1936 1:51 PM Venus enters Leo
Aug 10, 1936 10:11 PM Venus enters Virgo
Sep  4, 1936  6:02 AM Venus enters Libra
Sep 28, 1936  2:36 PM Venus enters Scorpio
Oct 23, 1936  1:00 AM Venus enters Sagittarius
Nov 16, 1936  1:36 PM Venus enters Capricorn
Dec 11, 1936  9:51 AM Venus enters Aquarius
Jan  5, 1937 10:18 PM Venus enters Pisces
Feb  2, 1937 5:39 AM Venus enters Aries
Mar  9, 1937  8:19 AM Venus enters Taurus
Apr 13, 1937 11:19 PM Venus Rx enters Aries
June  4, 1937 2:41 AM Venus enters Taurus
July  7, 19375:13 PM Venus enters Gemini
Aug  4, 1937  4:14 PM Venus enters Cancer
Aug 30, 1937  8:08 PM Venus enters Leo
Sep 25, 1937 12:03 AM Venus enters Virgo
Oct 19, 1937 11:33 AM Venus enters Libra
Nov 12, 1937  2:43 PM Venus enters Scorpio
Dec  6, 1937  1:06 PM Venus enters Sagittarius
Dec 30, 1937  9:42 AM Venus enters Capricorn
Jan 23, 1938  6:16 AM Venus enters Aquarius
Feb 16, 1938  4:00 AM Venus enters Pisces
Mar 12, 1938  4:20 AM Venus enters Aries
Apr  5, 1938  8:46 AM Venus enters Taurus
Apr 29, 1938  7:35 PM Venus enters Gemini
May 24, 1938 11:56 AM Venus enters Cancer
June 18, 193812:37 PM Venus enters Leo
July 14, 1938 1:44 AM Venus enters Virgo
Aug  9, 1938 12:26 PM Venus enters Libra
Sep  6, 1938  9:36 PM Venus enters Scorpio
Oct 13, 1938  1:49 PM Venus enters Sagittarius
Nov 15, 1938 11:07 AM Venus Rx enters Scorpio
Jan  4, 1939  4:48 PM Venus enters Sagittarius
Feb  6, 1939  4:20 AM Venus enters Capricorn
Mar  5, 1939  8:29 AM Venus enters Aquarius
Mar 31, 1939  3:34 AM Venus enters Pisces
Apr 25, 1939  9:28 AM Venus enters Aries
May 20, 1939 10:13 AM Venus enters Taurus
June 14, 1939 6:11 AM Venus enters Gemini
July  8, 193910:25 PM Venus enters Cancer
Aug  2, 1939 10:11 AM Venus enters Leo
Aug 26, 1939 5:24 PM Venus enters Virgo
Sep 19, 1939  9:02 PM Venus enters Libra
Oct 13, 1939  9:41 PM Venus enters Scorpio
Nov  6, 1939 10:41 PM Venus enters Sagittarius
Nov 30, 1939 11:52 PM Venus enters Capricorn
Dec 25, 1939  2:25 AM Venus enters Aquarius
Jan 18, 1940 9:00 AM Venus enters Pisces
Feb 12, 1940 12:51 AM Venus enters Aries
Mar 8, 1940 11:25 AM Venus enters Taurus
Apr 4, 1940 1:10 PM Venus enters Gemini
May 6, 1940 1:47 PM Venus enters Cancer
July 5, 1940 11:17 AM Venus Rx enters Gemini
July 31, 1940 9:20 PM Venus enters Cancer
Sep 8, 1940 11:59 AM Venus enters Leo
Oct 6, 1940 4:10 PM Venus enters Virgo
Nov 1, 1940 12:24 PM Venus enters Libra
Nov 26, 1940 7:32 AM Venus enters Scorpio
Dec 20, 1940 2:36 PM Venus enters Sagittarius
Jan 13, 1941 4:29 PM Venus enters Capricorn
Feb 6, 1941 4:49 PM Venus enters Aquarius
Mar 2, 1941 5:33 PM Venus enters Pisces
Mar 26, 1941 7:58 PM Venus enters Aries
Apr 20, 1941 12:53 AM Venus enters Taurus
May 14, 1941 8:36 AM Venus enters Gemini
June 7, 1941 6:53 PM Venus enters Cancer
July 2, 1941 7:33 AM Venus enters Leo
July 26, 1941 11:12 PM Venus enters Virgo
Aug 20, 1941 7:29 PM Venus enters Libra
Sep 14, 1941 11:01 PM Venus enters Scorpio
Oct 10, 1941 2:21 PM Venus enters Sagittarius
Nov 6, 1941 5:17 AM Venus enters Capricorn
Dec 5, 1941 6:04 PM Venus enters Aquarius
Apr 6, 1942 8:14 AM Venus enters Pisces
May 5, 1942 9:26 PM Venus enters Aries
June 1, 1942 7:26 PM Venus enters Taurus
June 27, 1942 5:18 PM Venus enters Gemini
July 23, 1942 1:10 AM Venus enters Cancer
Aug 16, 1942 10:04 PM Venus enters Leo
Sep 10, 1942 9:38 AM Venus enters Virgo
Oct 4, 1942 1:58 PM Venus enters Libra
Oct 28, 1942 1:40 PM Venus enters Scorpio
Nov 21, 1942 11:07 AM Venus enters Sagittarius
Dec 15, 1942 7:53 AM Venus enters Capricorn
Jan 8, 1943 5:03 AM Venus enters Aquarius
Feb 1, 1943 4:02 AM Venus enters Pisces
Feb 25, 1943 7:04 AM Venus enters Aries
Mar 21, 1943 5:24 PM Venus enters Taurus
Apr 15, 1943 3:12 PM Venus enters Gemini
May 11, 1943 6:56 AM Venus enters Cancer
June 7, 1943 7:09 AM Venus enters Leo
July 7, 1943 6:56 PM Venus enters Virgo
Nov 9, 1943 1:25 PM Venus enters Libra
Dec 8, 1943 2:45 AM Venus enters Scorpio
Jan 2, 1944 11:43 PM Venus enters Sagittarius
Jan 27, 1944 10:11 PM Venus enters Capricorn
Feb 21, 1944 11:40 AM Venus enters Aquarius
Mar 16, 1944 9:46 PM Venus enters Pisces
Apr 10, 1944 7:09 AM Venus enters Aries
May 4, 1944 5:04 PM Venus enters Taurus
May 29, 1944 3:39 AM Venus enters Gemini
June 22, 1944 2:12 PM Venus enters Cancer
July 16, 1944 11:47 PM Venus enters Leo
Aug 10, 1944 8:13 AM Venus enters Virgo
Sep 3, 1944 4:16 PM Venus enters Libra
Sep 28, 1944 1:12 AM Venus enters Scorpio
Oct 22, 1944 12:07 PM Venus enters Sagittarius
Nov 16, 1944 2:26 AM Venus enters Capricorn
Dec 10, 1944 11:47 PM Venus enters Aquarius
Jan 5, 1945 2:18 PM Venus enters Pisces
Feb 2, 1945 3:07 AM Venus enters Aries
Mar 11, 1945 6:17 AM Venus enters Taurus
Apr 7, 1945 2:15 PM Venus Rx enters Aries
June 4, 1945 5:58 PM Venus enters Taurus
July 7, 1945 11:20 AM Venus enters Gemini
Aug 4, 1945 5:59 AM Venus enters Cancer
Aug 30, 1945 8:05 AM Venus enters Leo
Sep 24, 1945 11:06 AM Venus enters Virgo
Oct 18, 1945 11:09 PM Venus enters Libra
Nov 12, 1945 2:05 AM Venus enters Scorpio
Dec 6, 1945 12:22 AM Venus enters Sagittarius
Dec 29, 1945 8:56 PM Venus enters Capricorn
Jan 22, 1946 5:28 PM Venus enters Aquarius
Feb 15, 1946 3:11 PM Venus enters Pisces
Mar 11, 1946 3:32 PM Venus enters Aries
Apr 4, 1946 8:01 PM Venus enters Taurus
Apr 29, 1946 5:59 AM Venus enters Gemini
May 23, 1946 10:39 PM Venus enters Cancer
June 18, 1946 12:00 AM Venus enters Leo
July 13, 1946 2:22 PM Venus enters Virgo
Aug 9, 1946 3:34 AM Venus enters Libra
Sep 6, 1946 7:16 PM Venus enters Scorpio
Oct 16, 1946 5:45 AM Venus enters Sagittarius
Nov 8, 1946 3:56 AM Venus Rx enters Scorpio
Jan 5, 1947 11:45 AM Venus enters Sagittarius
Feb 6, 1947 12:41 AM Venus enters Capricorn
Mar 5, 1947 12:09 AM Venus enters Aquarius
Mar 30, 1947 5:14 PM Venus enters Pisces
Apr 24, 1947 10:03 PM Venus enters Aries
May 19, 1947 9:06 PM Venus enters Taurus
June 13, 1947 4:35 PM Venus enters Gemini
July 8, 1947 8:30 AM Venus enters Cancer
Aug 1, 1947 8:06 PM Venus enters Leo
Aug 26, 1947 3:17 AM Venus enters Virgo
Sep 19, 1947 7:01 AM Venus enters Libra
Oct 13, 1947 8:49 AM Venus enters Scorpio
Nov 6, 1947 9:59 AM Venus enters Sagittarius
Nov 30, 1947 11:23 AM Venus enters Capricorn
Dec 24, 1947 2:13 PM Venus enters Aquarius
Jan 17, 1948 9:14 PM Venus enters Pisces
Feb 11, 1948 1:51 PM Venus enters Aries
Mar 8, 1948 1:59 AM Venus enters Taurus
Apr 4, 1948 7:40 AM Venus enters Gemini
May 7, 1948 3:27 AM Venus enters Cancer
June 29, 1948 2:58 AM Venus Rx enters Gemini
Aug 2, 1948 9:15 PM Venus enters Cancer
Sep 8, 1948 8:40 AM Venus enters Leo
Oct 6, 1948 7:25 AM Venus enters Virgo
Nov 1, 1948 1:42 AM Venus enters Libra
Nov 25, 1948 7:55 PM Venus enters Scorpio
Dec 20, 1948 2:28 AM Venus enters Sagittarius
Jan 13, 1949 4:01 AM Venus enters Capricorn
Feb 6, 1949 4:05 AM Venus enters Aquarius
Mar 2, 1949 4:38 AM Venus enters Pisces
Mar 26, 1949 6:54 AM Venus enters Aries
Apr 19, 1949 11:44 AM Venus enters Taurus
May 13, 1949 7:25 PM Venus enters Gemini
June 7, 1949 5:47 AM Venus enters Cancer
July 1, 1949 6:40 PM Venus enters Leo
July 26, 1949 10:43 AM Venus enters Virgo
Aug 20, 1949 7:39 AM Venus enters Libra
Sep 14, 1949 12:12 PM Venus enters Scorpio
Oct 10, 1949 5:18 AM Venus enters Sagittarius
Nov 5, 1949 11:53 PM Venus enters Capricorn
Dec 6, 1949 1:06 AM Venus enters Aquarius
Apr 6, 1950 10:13 AM Venus enters Pisces
May 5, 1950 2:19 PM Venus enters Aries
June 1, 1950 9:19 AM Venus enters Taurus
June 27, 1950 5:45 AM Venus enters Gemini
July 22, 1950 12:50 PM Venus enters Cancer
Aug 16, 1950 9:18 AM Venus enters Leo
Sep 9, 1950 8:37 PM Venus enters Virgo
Oct 4, 1950 12:51 AM Venus enters Libra
Oct 28, 1950 12:33 AM Venus enters Scorpio
Nov 20, 1950 10:03 PM Venus enters Sagittarius
Dec 14, 1950 6:54 PM Venus enters Capricorn
Jan 7, 1951 4:10 PM Venus enters Aquarius
Jan 31, 1951 3:14 PM Venus enters Pisces
Feb 24, 1951 6:26 PM Venus enters Aries
Mar 21, 1951 5:05 AM Venus enters Taurus
Apr 15, 1951 3:33 AM Venus enters Gemini
May 10, 1951 8:41 PM Venus enters Cancer
June 7, 1951 12:10 AM Venus enters Leo
July 8, 1951 12:06 AM Venus enters Virgo
Nov 9, 1951 1:48 PM Venus enters Libra
Dec 7, 1951 7:19 PM Venus enters Scorpio
Jan 2, 1952 1:44 PM Venus enters Sagittarius
Jan 27, 1952 10:58 AM Venus enters Capricorn
Feb 20, 1952 11:42 PM Venus enters Aquarius
Mar 16, 1952 9:18 AM Venus enters Pisces
Apr 9, 1952 6:17 PM Venus enters Aries
May 4, 1952 3:55 AM Venus enters Taurus
May 28, 1952 2:19 PM Venus enters Gemini
June 22, 1952 12:46 AM Venus enters Cancer
July 16, 1952 10:23 AM Venus enters Leo
Aug 9, 1952 6:58 PM Venus enters Virgo
Sep 3, 1952 3:17 AM Venus enters Libra
Sep 27, 1952 12:36 PM Venus enters Scorpio
Oct 22, 1952 12:02 AM Venus enters Sagittarius
Nov 15, 1952 3:03 PM Venus enters Capricorn
Dec 10, 1952 1:30 PM Venus enters Aquarius
Jan 5, 1953 6:10 AM Venus enters Pisces
Feb 2, 1953 12:54 AM Venus enters Aries
Mar 14, 1953 1:58 PM Venus enters Taurus
Mar 31, 1953 12:17 AM Venus enters Aries
June 5, 1953 5:34 AM Venus enters Taurus
July 7, 1953 5:30 AM Venus enters Gemini
Aug 3, 1953 8:08 PM Venus enters Cancer
Aug 29, 1953 8:35 PM Venus enters Leo
Sep 23, 1953 10:48 PM Venus enters Virgo
Oct 18, 1953 10:27 AM Venus enters Libra
Nov 11, 1953 1:12 PM Venus enters Scorpio
Dec 5, 1953 11:24 AM Venus enters Sagittarius
Dec 29, 1953 7:53 AM Venus enters Capricorn
Jan 22, 1954 4:20 AM Venus enters Aquarius
Feb 15, 1954 2:01 AM Venus enters Pisces
Mar 11, 1954 2:22 AM Venus enters Aries
Apr 4, 1954 6:55 AM Venus enters Taurus
Apr 28, 1954 5:03 PM Venus enters Gemini
May 23, 1954 10:04 AM Venus enters Cancer
June 17, 1954 12:04 PM Venus enters Leo
July 13, 1954 3:43 AM Venus enters Virgo
Aug 8, 1954 7:34 PM Venus enters Libra
Sep 6, 1954 6:29 PM Venus enters Scorpio
Oct 24, 1954 -6:53 AM Venus enters Sagittarius
Oct 27, 1954 5:42 AM Venus Rx enters Scorpio
Jan 6, 1955 1:48 AM Venus enters Sagittarius
Feb 5, 1955 8:15 PM Venus enters Capricorn
Mar 4, 1955 3:22 PM Venus enters Aquarius
Mar 30, 1955 6:30 AM Venus enters Pisces
Apr 24, 1955 10:13 AM Venus enters Aries
May 19, 1955 8:35 AM Venus enters Taurus
June 13, 1955 3:38 AM Venus enters Gemini
July 7, 1955 7:15 PM Venus enters Cancer
Aug 1, 1955 6:43 AM Venus enters Leo
Aug 25, 1955 1:52 PM Venus enters Virgo
Sep 18, 1955 5:41 PM Venus enters Libra
Oct 12, 1955 7:39 PM Venus enters Scorpio
Nov 5, 1955 9:02 PM Venus enters Sagittarius
Nov 29, 1955 10:42 PM Venus enters Capricorn
Dec 24, 1955 1:52 AM Venus enters Aquarius
Jan 17, 1956 9:22 AM Venus enters Pisces
Feb 11, 1956 2:46 AM Venus enters Aries
Mar 7, 1956 4:31 PM Venus enters Taurus
Apr 4, 1956 2:23 AM Venus enters Gemini
May 7, 1956 9:17 PM Venus enters Cancer
June 23, 1956 7:10 AM Venus Rx enters Gemini
Aug 4, 1956 4:49 AM Venus enters Cancer
Sep 8, 1956 4:23 AM Venus enters Leo
Oct 5, 1956 10:12 PM Venus enters Virgo
Oct 31, 1956 2:40 PM Venus enters Libra
Nov 25, 1956 8:01 AM Venus enters Scorpio
Dec 19, 1956 2:07 PM Venus enters Sagittarius
Jan 12, 1957 3:23 PM Venus enters Capricorn
Feb 5, 1957 3:16 PM Venus enters Aquarius
Mar 1, 1957 3:39 PM Venus enters Pisces
Mar 25, 1957 5:46 PM Venus enters Aries
Apr 18, 1957 10:28 PM Venus enters Taurus
May 13, 1957 6:08 AM Venus enters Gemini
June 6, 1957 4:35 PM Venus enters Cancer
July 1, 1957 5:42 AM Venus enters Leo
July 25, 1957 10:10 PM Venus enters Virgo
Aug 19, 1957 7:44 PM Venus enters Libra
Sep 14, 1957 1:20 AM Venus enters Scorpio
Oct 9, 1957 8:16 PM Venus enters Sagittarius
Nov 5, 1957 6:46 PM Venus enters Capricorn
Dec 6, 1957 10:26 AM Venus enters Aquarius
Apr 6, 1958 11:00 AM Venus enters Pisces
May 5, 1958 6:59 AM Venus enters Aries
May 31, 1958 11:07 PM Venus enters Taurus
June 26, 1958 6:08 PM Venus enters Gemini
July 22, 1958 12:26 AM Venus enters Cancer
Aug 15, 1958 8:28 PM Venus enters Leo
Sep 9, 1958 7:35 AM Venus enters Virgo
Oct 3, 1958 11:44 AM Venus enters Libra
Oct 27, 1958 11:26 AM Venus enters Scorpio
Nov 20, 1958 8:59 AM Venus enters Sagittarius
Dec 14, 1958 5:55 AM Venus enters Capricorn
Jan 7, 1959 3:16 AM Venus enters Aquarius
Jan 31, 1959 2:28 AM Venus enters Pisces
Feb 24, 1959 5:53 AM Venus enters Aries
Mar 20, 1959 4:55 PM Venus enters Taurus
Apr 14, 1959 4:08 PM Venus enters Gemini
May 10, 1959 10:45 AM Venus enters Cancer
June 6, 1959 5:43 PM Venus enters Leo
July 8, 1959 7:08 AM Venus enters Virgo
Sep 20, 1959 -1:59 AM Venus Rx enters Leo
Sep 25, 1959 3:15 AM Venus enters Virgo
Nov 9, 1959 1:11 PM Venus enters Libra
Dec 7, 1959 11:41 AM Venus enters Scorpio
Jan 2, 1960 3:43 AM Venus enters Sagittarius
Jan 26, 1960 11:46 PM Venus enters Capricorn
Feb 20, 1960 11:47 AM Venus enters Aquarius
Mar 15, 1960 8:53 PM Venus enters Pisces
Apr 9, 1960 5:32 AM Venus enters Aries
May 3, 1960 2:56 PM Venus enters Taurus
May 28, 1960 1:11 AM Venus enters Gemini
June 21, 1960 11:34 AM Venus enters Cancer
July 15, 1960 9:11 PM Venus enters Leo
Aug 9, 1960 5:54 AM Venus enters Virgo
Sep 2, 1960 2:29 PM Venus enters Libra
Sep 27, 1960 12:13 AM Venus enters Scorpio
Oct 21, 1960 12:12 PM Venus enters Sagittarius
Nov 15, 1960 3:57 AM Venus enters Capricorn
Dec 10, 1960 3:34 AM Venus enters Aquarius
Jan 4, 1961 10:31 PM Venus enters Pisces
Feb 1, 1961 11:46 PM Venus enters Aries
June 5, 1961 2:25 PM Venus enters Taurus
July 6, 1961 11:32 PM Venus enters Gemini
Aug 3, 1961 10:28 AM Venus enters Cancer
Aug 29, 1961 9:18 AM Venus enters Leo
Sep 23, 1961 10:43 AM Venus enters Virgo
Oct 17, 1961 9:58 PM Venus enters Libra
Nov 11, 1961 12:33 AM Venus enters Scorpio
Dec 4, 1961 10:40 PM Venus enters Sagittarius
Dec 28, 1961 7:07 PM Venus enters Capricorn
Jan 21, 1962 3:31 PM Venus enters Aquarius
Feb 14, 1962 1:09 PM Venus enters Pisces
Mar 10, 1962 1:28 PM Venus enters Aries
Apr 3, 1962 6:05 PM Venus enters Taurus
Apr 28, 1962 4:23 AM Venus enters Gemini
May 22, 1962 9:46 PM Venus enters Cancer
June 17, 1962 12:31 AM Venus enters Leo
July 12, 1962 5:32 PM Venus enters Virgo
Aug 8, 1962 12:13 PM Venus enters Libra
Sep 6, 1962 7:11 PM Venus enters Scorpio
Jan 6, 1963 12:35 PM Venus enters Sagittarius
Feb 5, 1963 3:36 PM Venus enters Capricorn
Mar 4, 1963 6:41 AM Venus enters Aquarius
Mar 29, 1963 8:00 PM Venus enters Pisces
Apr 23, 1963 10:39 PM Venus enters Aries
May 18, 1963 8:21 PM Venus enters Taurus
June 12, 1963 2:57 PM Venus enters Gemini
July 7, 1963 6:18 AM Venus enters Cancer
July 31, 1963 5:38 PM Venus enters Leo
Aug 25, 1963 12:49 AM Venus enters Virgo
Sep 18, 1963 4:43 AM Venus enters Libra
Oct 12, 1963 6:50 AM Venus enters Scorpio
Nov 5, 1963 8:25 AM Venus enters Sagittarius
Nov 29, 1963 10:21 AM Venus enters Capricorn
Dec 23, 1963 1:53 PM Venus enters Aquarius
Jan 16, 1964 9:54 PM Venus enters Pisces
Feb 10, 1964 4:09 PM Venus enters Aries
Mar 7, 1964 7:38 AM Venus enters Taurus
Apr 3, 1964 10:03 PM Venus enters Gemini
May 8, 1964 10:16 PM Venus enters Cancer
June 17, 1964 1:17 PM Venus Rx enters Gemini
Aug 5, 1964 3:53 AM Venus enters Cancer
Sep 7, 1964 11:53 PM Venus enters Leo
Oct 5, 1964 1:10 PM Venus enters Virgo
Oct 31, 1964 3:54 AM Venus enters Libra
Nov 24, 1964 8:25 PM Venus enters Scorpio
Dec 19, 1964 2:02 AM Venus enters Sagittarius
Jan 12, 1965 3:00 AM Venus enters Capricorn
Feb 5, 1965 2:41 AM Venus enters Aquarius
Mar 1, 1965 2:55 AM Venus enters Pisces
Mar 25, 1965 4:54 AM Venus enters Aries
Apr 18, 1965 9:31 AM Venus enters Taurus
May 12, 1965 5:08 PM Venus enters Gemini
June 6, 1965 3:39 AM Venus enters Cancer
June 30, 1965 4:59 PM Venus enters Leo
July 25, 1965 9:51 AM Venus enters Virgo
Aug 19, 1965 8:06 AM Venus enters Libra
Sep 13, 1965 2:50 PM Venus enters Scorpio
Oct 9, 1965 11:46 AM Venus enters Sagittarius
Nov 5, 1965 2:36 PM Venus enters Capricorn
Dec 6, 1965 11:37 PM Venus enters Aquarius
Feb 6, 1966 7:46 AM Venus Rx enters Capricorn
Feb 25, 1966 5:55 AM Venus enters Aquarius
Apr 6, 1966 10:53 AM Venus enters Pisces
May 4, 1966 11:33 PM Venus enters Aries
May 31, 1966 1:00 PM Venus enters Taurus
June 26, 1966 6:40 AM Venus enters Gemini
July 21, 1966 12:11 PM Venus enters Cancer
Aug 15, 1966 7:47 AM Venus enters Leo
Sep 8, 1966 6:40 PM Venus enters Virgo
Oct 2, 1966 10:44 PM Venus enters Libra
Oct 26, 1966 10:28 PM Venus enters Scorpio
Nov 19, 1966 8:06 PM Venus enters Sagittarius
Dec 13, 1966 5:09 PM Venus enters Capricorn
Jan 6, 1967 2:36 PM Venus enters Aquarius
Jan 30, 1967 1:53 PM Venus enters Pisces
Feb 23, 1967 5:30 PM Venus enters Aries
Mar 20, 1967 4:56 AM Venus enters Taurus
Apr 14, 1967 4:54 AM Venus enters Gemini
May 10, 1967 1:05 AM Venus enters Cancer
June 6, 1967 11:48 AM Venus enters Leo
July 8, 1967 5:11 PM Venus enters Virgo
Sep 9, 1967 6:58 AM Venus Rx enters Leo
Oct 1, 1967 1:07 PM Venus enters Virgo
Nov 9, 1967 11:32 AM Venus enters Libra
Dec 7, 1967 3:48 AM Venus enters Scorpio
Jan 1, 1968 5:37 PM Venus enters Sagittarius
Jan 26, 1968 12:35 PM Venus enters Capricorn
Feb 19, 1968 11:55 PM Venus enters Aquarius
Mar 15, 1968 8:32 AM Venus enters Pisces
Apr 8, 1968 4:48 PM Venus enters Aries
May 3, 1968 1:56 AM Venus enters Taurus
May 27, 1968 12:02 PM Venus enters Gemini
June 20, 1968 10:20 PM Venus enters Cancer
July 15, 1968 7:59 AM Venus enters Leo
Aug 8, 1968 4:49 PM Venus enters Virgo
Sep 2, 1968 1:39 AM Venus enters Libra
Sep 26, 1968 11:45 AM Venus enters Scorpio
Oct 21, 1968 12:16 AM Venus enters Sagittarius
Nov 14, 1968 4:48 PM Venus enters Capricorn
Dec 9, 1968 5:40 PM Venus enters Aquarius
Jan 4, 1969 3:07 PM Venus enters Pisces
Feb 1, 1969 11:45 PM Venus enters Aries
June 5, 1969 8:48 PM Venus enters Taurus
July 6, 1969 5:04 PM Venus enters Gemini
Aug 3, 1969 12:30 AM Venus enters Cancer
Aug 28, 1969 9:48 PM Venus enters Leo
Sep 22, 1969 10:26 PM Venus enters Virgo
Oct 17, 1969 9:17 AM Venus enters Libra
Nov 10, 1969 11:40 AM Venus enters Scorpio
Dec 4, 1969 9:41 AM Venus enters Sagittarius
Dec 28, 1969 6:04 AM Venus enters Capricorn
Jan 21, 1970 2:26 AM Venus enters Aquarius
Feb 14, 1970 12:04 AM Venus enters Pisces
Mar 10, 1970 12:25 AM Venus enters Aries
Apr 3, 1970 5:05 AM Venus enters Taurus
Apr 27, 1970 3:33 PM Venus enters Gemini
May 22, 1970 9:19 AM Venus enters Cancer
June 16, 1970 12:49 PM Venus enters Leo
July 12, 1970 7:16 AM Venus enters Virgo
Aug 8, 1970 4:59 AM Venus enters Libra
Sep 6, 1970 8:54 PM Venus enters Scorpio
Jan 6, 1971 8:00 PM Venus enters Sagittarius
Feb 5, 1971 9:57 AM Venus enters Capricorn
Mar 3, 1971 9:24 PM Venus enters Aquarius
Mar 29, 1971 9:02 AM Venus enters Pisces
Apr 23, 1971 10:44 AM Venus enters Aries
May 18, 1971 7:48 AM Venus enters Taurus
June 12, 1971 1:58 AM Venus enters Gemini
July 6, 1971 5:02 PM Venus enters Cancer
July 31, 1971 4:15 AM Venus enters Leo
Aug 24, 1971 11:25 AM Venus enters Virgo
Sep 17, 1971 3:25 PM Venus enters Libra
Oct 11, 1971 5:43 PM Venus enters Scorpio
Nov 4, 1971 7:30 PM Venus enters Sagittarius
Nov 28, 1971 9:41 PM Venus enters Capricorn
Dec 23, 1971 1:32 AM Venus enters Aquarius
Jan 16, 1972 10:01 AM Venus enters Pisces
Feb 10, 1972 5:08 AM Venus enters Aries
Mar 6, 1972 10:25 PM Venus enters Taurus
Apr 3, 1972 5:48 PM Venus enters Gemini
May 10, 1972 8:51 AM Venus enters Cancer
June 11, 1972 3:08 PM Venus Rx enters Gemini
Aug 5, 1972 8:26 PM Venus enters Cancer
Sep 7, 1972 6:27 PM Venus enters Leo
Oct 5, 1972 3:33 AM Venus enters Virgo
